Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,Location
2020,6,578321,573333,Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Icebar Melbourne,"Tenancy 15, Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000",166,144.96994,-37.81778,"-37.81778, 144.96994"
2020,6,578327,573333,"Tenancy 18, Zinc 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Zinc at Federation Square,"Tenancy 18, Zinc 2 Swanston Street MELBOURNE VIC 3000",1000,144.96994,-37.81778,"-37.81778, 144.96994"
2020,11,103993,103993,Waterside Hotel 508-514 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Waterside Hotel,Waterside Hotel 508-514 Flinders Street MELBOURNE VIC 3000,983,144.95715,-37.82017,"-37.82017, 144.95715"
2020,11,105294,105294,27-31 King Street MELBOURNE VIC 3000,Melbourne (CBD),State Of Grace,"Basement , Ground & Rooftop 27 King Street MELBOURNE VIC 3000",200,144.95695,-37.81976,"-37.81976, 144.95695"
2020,12,105401,105401,14-20 King Street MELBOURNE VIC 3000,Melbourne (CBD),Tramp Bar,Basement 20 King Street MELBOURNE VIC 3000,260,144.95771,-37.81978,"-37.81978, 144.95771"
2020,14,101099,101099,16-26 Bond Street MELBOURNE VIC 3000,Melbourne (CBD),Bond Bar,Ground 20-24 Bond Street MELBOURNE VIC 3000,500,144.96306,-37.81815,"-37.81815, 144.96306"
2020,14,103165,103165,1-5 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Dreams Gentlemen's Club,288 Flinders Street MELBOURNE VIC 3000,160,144.96461,-37.81806,"-37.81806, 144.96461"
2020,14,103172,103172,31-39 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),The Joint Bar,Level 1-2 35 Elizabeth Street MELBOURNE VIC 3000,329,144.96433,-37.81742,"-37.81742, 144.96433"
2020,14,103950,103950,335-339 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Bartronica,Basement 335 Flinders Lane MELBOURNE VIC 3000,200,144.96323,-37.81785,"-37.81785, 144.96323"
2020,15,103944,103944,Tomasetti House 277-279 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),The Mill House Bar,"Unit 1, Basement 277 Flinders Lane MELBOURNE VIC 3000",400,144.9653,-37.81724,"-37.81724, 144.9653"
2020,15,109257,109257,Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Young & Jacksons,Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,470,144.96702,-37.81736,"-37.81736, 144.96702"
2020,16,103938,103938,Adelphi Hotel 187 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Mon Bijou,"Unit 10, Level 10 187 Flinders Lane MELBOURNE VIC 3000",180,144.96838,-37.81636,"-37.81636, 144.96838"
