Geography,Year,Category,Industry Space Use,Value
City of Melbourne,2022,Jobs by industry,Agriculture and mining,2856
City of Melbourne,2022,Jobs by industry,Business services,83146
City of Melbourne,2022,Jobs by industry,Construction,6831
City of Melbourne,2022,Jobs by industry,Other services,12344
City of Melbourne,2022,Jobs by industry,Real estate services,9465
City of Melbourne,2022,Jobs by industry,Retail trade,17549
City of Melbourne,2022,Jobs by industry,Wholesale trade,5821
City of Melbourne,2022,Jobs by space use,Industrial,8353
City of Melbourne,2022,Jobs by space use,Retail,24890
Carlton,2022,Jobs by industry,Admin and support services,115
Carlton,2022,Jobs by industry,Agriculture and mining,0
Carlton,2022,Jobs by industry,Construction,93
Carlton,2022,Jobs by industry,Finance and insurance,328
Carlton,2022,Jobs by industry,Manufacturing,162
Carlton,2022,Jobs by industry,Public administration and safety,1002
Docklands,2022,Jobs by industry,Education and training,1314
Docklands,2022,Jobs by industry,Food and beverage services,3784
Docklands,2022,Jobs by industry,Information media and telecommunications,6260
Docklands,2022,Jobs by industry,Other services,609
Docklands,2022,Jobs by industry,"Transport, postal and storage",2608
East Melbourne,2022,Jobs by industry,Agriculture and mining,1
East Melbourne,2022,Jobs by industry,Business services,998
East Melbourne,2022,Jobs by industry,Food and beverage services,2850
East Melbourne,2022,Jobs by industry,Rental and hiring services,0
Kensington,2022,Jobs by industry,Accommodation,23
Kensington,2022,Jobs by industry,Construction,309
Kensington,2022,Jobs by industry,Education and training,185
Kensington,2022,Jobs by industry,Information media and telecommunications,95
Kensington,2022,Jobs by industry,Manufacturing,408
Kensington,2022,Jobs by industry,Other services,300
Kensington,2022,Jobs by industry,Rental and hiring services,26
Kensington,2022,Jobs by industry,Retail trade,429
Kensington,2022,Jobs by industry,Wholesale trade,363
Melbourne (CBD),2022,Jobs by industry,Admin and support services,10649
Melbourne (CBD),2022,Jobs by industry,Arts and recreation services,3191
Melbourne (CBD),2022,Jobs by industry,Construction,2912
Melbourne (CBD),2022,Jobs by industry,Food and beverage services,16538
Melbourne (CBD),2022,Jobs by industry,Information media and telecommunications,15887
Melbourne (CBD),2022,Jobs by industry,Other services,6464
Melbourne (CBD),2022,Jobs by industry,Public administration and safety,27560
Melbourne (Remainder),2022,Jobs by industry,Accommodation,68
Melbourne (Remainder),2022,Jobs by industry,Admin and support services,1471
Melbourne (Remainder),2022,Jobs by industry,Finance and insurance,1330
Melbourne (Remainder),2022,Jobs by industry,Other services,136
Melbourne (Remainder),2022,Jobs by industry,Public administration and safety,130
Melbourne (Remainder),2022,Jobs by industry,Real estate services,128
Melbourne (Remainder),2022,Jobs by industry,Rental and hiring services,0
Melbourne (Remainder),2022,Jobs by industry,Retail trade,191
Melbourne (Remainder),2022,Jobs by industry,"Transport, postal and storage",51
North Melbourne,2022,Jobs by industry,Arts and recreation services,363
North Melbourne,2022,Jobs by industry,"Electricity, gas, water and waste services",0
North Melbourne,2022,Jobs by industry,Health care and social assistance,2070
North Melbourne,2022,Jobs by industry,"Transport, postal and storage",255
North Melbourne,2022,Jobs by industry,Wholesale trade,301
Parkville,2022,Jobs by industry,Admin and support services,74
Parkville,2022,Jobs by industry,Construction,0
Parkville,2022,Jobs by industry,Real estate services,31
Parkville,2022,Jobs by industry,Rental and hiring services,0
Parkville,2022,Jobs by industry,"Transport, postal and storage",4
Port Melbourne,2022,Jobs by industry,Admin and support services,552
Port Melbourne,2022,Jobs by industry,Finance and insurance,42
Port Melbourne,2022,Jobs by industry,Health care and social assistance,137
Port Melbourne,2022,Jobs by industry,Manufacturing,3552
Port Melbourne,2022,Jobs by industry,Other services,200
Port Melbourne,2022,Jobs by industry,"Transport, postal and storage",2285
South Yarra,2022,Jobs by industry,Agriculture and mining,0
South Yarra,2022,Jobs by industry,Construction,0
South Yarra,2022,Jobs by industry,Education and training,715
South Yarra,2022,Jobs by industry,Health care and social assistance,61
South Yarra,2022,Jobs by industry,Information media and telecommunications,5
South Yarra,2022,Jobs by industry,Other services,25
South Yarra,2022,Jobs by industry,Rental and hiring services,0
South Yarra,2022,Jobs by industry,Retail trade,7
Southbank,2022,Jobs by industry,Agriculture and mining,720
Southbank,2022,Jobs by industry,Arts and recreation services,8721
Southbank,2022,Jobs by industry,Public administration and safety,3082
Southbank,2022,Jobs by industry,Real estate services,463
Southbank,2022,Jobs by industry,Retail trade,2061
West Melbourne (Industrial),2022,Jobs by industry,Accommodation,1
West Melbourne (Industrial),2022,Jobs by industry,Admin and support services,9
West Melbourne (Industrial),2022,Jobs by industry,Arts and recreation services,46
West Melbourne (Industrial),2022,Jobs by industry,Finance and insurance,0
West Melbourne (Industrial),2022,Jobs by industry,Manufacturing,159
West Melbourne (Industrial),2022,Jobs by industry,Public administration and safety,18
West Melbourne (Industrial),2022,Jobs by industry,Real estate services,3
West Melbourne (Industrial),2022,Jobs by industry,Rental and hiring services,2
West Melbourne (Industrial),2022,Jobs by industry,"Transport, postal and storage",2555
West Melbourne (Residential),2022,Jobs by industry,Arts and recreation services,387
West Melbourne (Residential),2022,Jobs by industry,Other services,348
West Melbourne (Residential),2022,Jobs by industry,Public administration and safety,461
West Melbourne (Residential),2022,Jobs by industry,"Transport, postal and storage",64
West Melbourne (Residential),2022,Jobs by industry,Wholesale trade,149
Carlton,2022,Jobs by space use,Accommodation - Commercial,806
Carlton,2022,Jobs by space use,Other - Employment,477
Docklands,2022,Jobs by space use,Accommodation - Commercial,400
Docklands,2022,Jobs by space use,Entertainment - Other,969
Docklands,2022,Jobs by space use,Industrial,21
Docklands,2022,Jobs by space use,Office,64518
Docklands,2022,Jobs by space use,Retail,2898
East Melbourne,2022,Jobs by space use,Accommodation - Commercial,582
East Melbourne,2022,Jobs by space use,Office,11162
Kensington,2022,Jobs by space use,Education,331
Kensington,2022,Jobs by space use,Entertainment - Hospitality,211
Kensington,2022,Jobs by space use,Entertainment - Other,2814
Kensington,2022,Jobs by space use,Industrial,730
