Geography,Year,Gender,Age,Value
City of Melbourne,2023,Male,Age 0-4,2686
City of Melbourne,2023,Female,Age 10-14,1005
City of Melbourne,2023,Female,Age 15-19,3456
City of Melbourne,2023,Male,Age 20-24,14419
City of Melbourne,2023,Female,Age 35-39,7152
City of Melbourne,2023,Male,Age 45-49,3166
City of Melbourne,2023,Female,Age 60-64,2188
City of Melbourne,2023,Female,Age 70-74,1707
City of Melbourne,2023,Male,Age 75-79,808
City of Melbourne,2023,Male,Age 80-84,346
City of Melbourne,2023,Male,Age 85+,212
Carlton,2023,Female,Age 5-9,178
Carlton,2023,Male,Age 10-14,177
Carlton,2023,Female,Age 15-19,673
Carlton,2023,Female,Age 25-29,1806
Carlton,2023,Male,Age 25-29,1653
Carlton,2023,Female,Age 30-34,1030
Carlton,2023,Female,Age 35-39,662
Carlton,2023,Male,Age 40-44,374
Carlton,2023,Male,Age 45-49,284
Carlton,2023,Female,Age 50-54,267
Carlton,2023,Female,Age 65-69,231
Carlton,2023,Male,Age 65-69,111
Carlton,2023,Female,Age 70-74,169
Carlton,2023,Male,Age 75-79,95
Carlton,2023,Female,Age 80-84,52
Docklands,2023,Male,Age 15-19,166
Docklands,2023,Female,Age 20-24,1019
Docklands,2023,Male,Age 25-29,1572
Docklands,2023,Female,Age 40-44,434
Docklands,2023,Male,Age 50-54,449
Docklands,2023,Male,Age 55-59,403
East Melbourne,2023,Female,Age 0-4,72
East Melbourne,2023,Male,Age 10-14,11
East Melbourne,2023,Female,Age 35-39,281
East Melbourne,2023,Male,Age 35-39,322
East Melbourne,2023,Female,Age 40-44,167
East Melbourne,2023,Male,Age 40-44,163
East Melbourne,2023,Female,Age 50-54,133
East Melbourne,2023,Female,Age 55-59,158
East Melbourne,2023,Female,Age 65-69,179
East Melbourne,2023,Female,Age 70-74,192
East Melbourne,2023,Female,Age 80-84,23
Kensington,2023,Male,Age 0-4,425
Kensington,2023,Female,Age 30-34,993
Kensington,2023,Male,Age 30-34,752
Kensington,2023,Male,Age 40-44,495
Kensington,2023,Female,Age 50-54,233
Kensington,2023,Female,Age 60-64,194
Kensington,2023,Male,Age 65-69,118
Kensington,2023,Female,Age 70-74,166
Kensington,2023,Male,Age 70-74,95
Kensington,2023,Female,Age 75-79,65
Kensington,2023,Female,Age 80-84,50
Kensington,2023,Female,Age 85+,34
Melbourne (CBD),2023,Male,Age 0-4,495
Melbourne (CBD),2023,Male,Age 5-9,167
Melbourne (CBD),2023,Female,Age 10-14,91
Melbourne (CBD),2023,Female,Age 20-24,6604
Melbourne (CBD),2023,Female,Age 30-34,3372
Melbourne (CBD),2023,Female,Age 35-39,1595
Melbourne (CBD),2023,Male,Age 35-39,1987
Melbourne (CBD),2023,Female,Age 40-44,868
Melbourne (CBD),2023,Female,Age 50-54,490
Melbourne (CBD),2023,Female,Age 55-59,430
Melbourne (CBD),2023,Female,Age 65-69,233
Melbourne (CBD),2023,Female,Age 75-79,105
Melbourne (CBD),2023,Male,Age 75-79,141
Melbourne (Remainder),2023,Male,Age 10-14,21
Melbourne (Remainder),2023,Male,Age 15-19,28
Melbourne (Remainder),2023,Female,Age 25-29,176
Melbourne (Remainder),2023,Male,Age 40-44,118
Melbourne (Remainder),2023,Female,Age 50-54,64
Melbourne (Remainder),2023,Female,Age 60-64,128
Melbourne (Remainder),2023,Female,Age 75-79,99
Melbourne (Remainder),2023,Female,Age 80-84,30
Melbourne (Remainder),2023,Male,Age 80-84,29
Melbourne (Remainder),2023,Female,Age 85+,24
Melbourne (Remainder),2023,Male,Age 85+,23
North Melbourne,2023,Male,Age 5-9,246
North Melbourne,2023,Male,Age 10-14,223
North Melbourne,2023,Female,Age 15-19,284
North Melbourne,2023,Female,Age 30-34,1070
North Melbourne,2023,Female,Age 35-39,743
North Melbourne,2023,Female,Age 45-49,388
North Melbourne,2023,Female,Age 50-54,324
North Melbourne,2023,Female,Age 55-59,225
North Melbourne,2023,Male,Age 60-64,239
North Melbourne,2023,Female,Age 65-69,208
North Melbourne,2023,Female,Age 70-74,175
North Melbourne,2023,Male,Age 70-74,233
North Melbourne,2023,Male,Age 75-79,60
Parkville,2023,Female,Age 15-19,473
Parkville,2023,Male,Age 20-24,848
Parkville,2023,Female,Age 25-29,656
Parkville,2023,Male,Age 25-29,605
Parkville,2023,Male,Age 50-54,118
Parkville,2023,Male,Age 55-59,100
Parkville,2023,Male,Age 60-64,114
Parkville,2023,Male,Age 85+,26
Port Melbourne,2023,Female,Age 15-19,0
Port Melbourne,2023,Female,Age 20-24,1
Port Melbourne,2023,Male,Age 25-29,1
Port Melbourne,2023,Female,Age 30-34,1
Port Melbourne,2023,Female,Age 35-39,0
Port Melbourne,2023,Male,Age 35-39,0
Port Melbourne,2023,Female,Age 45-49,0
Port Melbourne,2023,Female,Age 50-54,0
Port Melbourne,2023,Male,Age 55-59,0
Port Melbourne,2023,Female,Age 60-64,0
Port Melbourne,2023,Female,Age 65-69,0
Port Melbourne,2023,Female,Age 70-74,0
Port Melbourne,2023,Male,Age 70-74,0
Port Melbourne,2023,Female,Age 75-79,0
Port Melbourne,2023,Male,Age 80-84,0
Port Melbourne,2023,Male,Age 85+,0
South Yarra,2023,Female,Age 0-4,56
